Stone ID,Stone length [m],Stone width [m],stone height [m],Elongation [-],Flatness_index [-],Aspect ratio [-],Stone volume [m^3],Bounding box volume [m^3],Shape factor [-]
WS05_stone_0.ply,0.127348785,0.113793793,0.051204681,0.893560095,0.449977808,0.402082213,0.000346965,0.000742033,0.467587503
WS05_stone_1.ply,0.234826855,0.116188539,0.091760596,0.494783864,0.789756007,0.390758528,0.00098032,0.002503613,0.391562127
WS05_stone_10.ply,0.205383083,0.088046177,0.06901213,0.428692451,0.783817443,0.336016621,0.000459474,0.00124796,0.368180258
WS05_stone_100.ply,0.191293042,0.131656304,0.071712943,0.688244081,0.544698136,0.374885268,0.000787202,0.001806086,0.435861055
WS05_stone_101.ply,0.187253265,0.093850979,0.053191471,0.501198088,0.566765226,0.284061648,0.000380947,0.000934782,0.407524771
WS05_stone_102.ply,0.226571682,0.194305674,0.098771412,0.857590288,0.508330043,0.435938909,0.001674244,0.004348329,0.385031617
WS05_stone_103.ply,0.345856667,0.195643234,0.081537437,0.56567721,0.416765945,0.235754997,0.002369659,0.005517191,0.42950451
WS05_stone_104.ply,0.239893169,0.139034481,0.070727081,0.579568319,0.508701732,0.294827408,0.000815144,0.00235899,0.345547833
WS05_stone_105.ply,0.189855639,0.108951904,0.083295661,0.573867093,0.764517718,0.43873156,0.000695334,0.001722982,0.403564415
WS05_stone_106.ply,0.212462925,0.198389274,0.094717303,0.9337595,0.477431573,0.445806267,0.001621047,0.003992369,0.406036463
WS05_stone_107.ply,0.163309059,0.072407913,0.071408081,0.443379648,0.986191673,0.437257317,0.000399472,0.000844391,0.473088271
WS05_stone_108.ply,0.144632711,0.112038498,0.051942577,0.774641482,0.463613654,0.359134368,0.00030327,0.0008417,0.360306578
WS05_stone_109.ply,0.216623332,0.138094919,0.101685886,0.637488666,0.736347773,0.469413359,0.001279972,0.003041891,0.420781693
WS05_stone_11.ply,0.119070396,0.083076506,0.0492173,0.697709155,0.592433445,0.413346238,0.000193085,0.000486855,0.396596125
WS05_stone_110.ply,0.140183539,0.071463905,0.049424657,0.509788139,0.691603075,0.352571044,0.000216628,0.000495139,0.437508577
WS05_stone_111.ply,0.185950198,0.159644356,0.067519798,0.858532862,0.422938838,0.363106891,0.000897611,0.002004386,0.447823647
WS05_stone_112.ply,0.192712454,0.120718026,0.060573501,0.626415283,0.501776769,0.314320637,0.000694219,0.001409174,0.49264254
WS05_stone_113.ply,0.160494664,0.137005307,0.074133398,0.853643996,0.541098733,0.461905684,0.000566755,0.001630091,0.347682882
WS05_stone_114.ply,0.245339323,0.151499392,0.079698204,0.617509618,0.526062863,0.324848877,0.000997682,0.002962283,0.336794863
WS05_stone_115.ply,0.204354604,0.118232566,0.093804102,0.578565708,0.793386334,0.459026126,0.000887201,0.002266436,0.391452337
WS05_stone_116.ply,0.213497638,0.116642858,0.049648606,0.546342616,0.425646344,0.232548737,0.000567232,0.001236398,0.458777978
