Stone ID,Stone length [m],Stone width [m],stone height [m],Elongation [-],Flatness_index [-],Aspect ratio [-],Stone volume [m^3],Bounding box volume [m^3],Shape factor [-]
WS06_stone_0.ply,0.206541979,0.183826076,0.097251919,0.890017984,0.529043109,0.470857881,0.001286735,0.003692442,0.348478101
WS06_stone_1.ply,0.190671772,0.142227042,0.09872095,0.74592605,0.694108155,0.517753354,0.000942118,0.002677182,0.351906477
WS06_stone_10.ply,0.118397179,0.08171381,0.05769516,0.690166868,0.70606376,0.487301814,0.000252125,0.000558182,0.451688518
WS06_stone_100.ply,0.272783153,0.135574086,0.10142342,0.497003148,0.748103295,0.371809693,0.001456382,0.003750874,0.388278162
WS06_stone_101.ply,0.208948643,0.111610485,0.089042941,0.534152716,0.797800855,0.426147494,0.000901861,0.002076558,0.434305513
WS06_stone_102.ply,0.196249077,0.116170064,0.089768666,0.591952154,0.772734933,0.457422108,0.000867548,0.00204657,0.423903398
WS06_stone_103.ply,0.186506142,0.133303372,0.085994344,0.714739851,0.645102538,0.461080492,0.000862299,0.002137983,0.403323804
WS06_stone_104.ply,0.17831007,0.163715153,0.061732483,0.918148665,0.377072506,0.346208618,0.000716742,0.001802098,0.397726551
WS06_stone_105.ply,0.205981941,0.121789293,0.068403816,0.591261994,0.561657058,0.332086472,0.000696079,0.001716005,0.405639181
WS06_stone_106.ply,0.204302273,0.125384178,0.068339615,0.613718959,0.545041774,0.33450247,0.000670887,0.001750606,0.383231178
WS06_stone_107.ply,0.199402714,0.103395004,0.084230232,0.518523556,0.814645087,0.422412668,0.000668721,0.001736595,0.385076093
WS06_stone_108.ply,0.206535324,0.099742536,0.064356427,0.48293209,0.645225494,0.311600096,0.000641258,0.001325765,0.483689059
WS06_stone_109.ply,0.18629869,0.108419029,0.076355964,0.581963454,0.704267185,0.409857763,0.000726851,0.001542262,0.471288969
WS06_stone_11.ply,0.186042338,0.120042146,0.061482778,0.645241006,0.512176598,0.330477344,0.000576537,0.00137309,0.419882777
WS06_stone_110.ply,0.162491722,0.162459679,0.069269524,0.999802799,0.42637979,0.426295707,0.000632048,0.001828601,0.345645858
WS06_stone_111.ply,0.179575002,0.11876115,0.082298184,0.661345666,0.692972276,0.458294211,0.000620755,0.001755135,0.353679318
WS06_stone_112.ply,0.168172302,0.09375473,0.077447023,0.557492102,0.826059903,0.460521872,0.000588345,0.001221103,0.481814452
WS06_stone_113.ply,0.183979411,0.120592349,0.053603316,0.655466546,0.444500141,0.291354972,0.000544317,0.00118927,0.45769011
WS06_stone_114.ply,0.155285129,0.127100789,0.053497425,0.818499421,0.420905533,0.344510935,0.00041474,0.001055871,0.392793664
WS06_stone_115.ply,0.123495674,0.10009059,0.049093781,0.810478506,0.490493469,0.397534415,0.000327831,0.000606836,0.540230002
WS06_stone_116.ply,0.132479172,0.130459652,0.044335098,0.984755945,0.339837625,0.334657121,0.000292877,0.000766252,0.382219959
WS06_stone_117.ply,0.132217674,0.103129005,0.032220802,0.779994097,0.312432009,0.243695122,0.000164687,0.000439346,0.374846431
WS06_stone_118.ply,0.122839772,0.060943227,0.059169769,0.496119671,0.970899836,0.481682507,0.000154998,0.00044296,0.349914802
WS06_stone_119.ply,0.202176762,0.134229622,0.108632565,0.663922109,0.80930396,0.537314792,0.001038825,0.002948083,0.352373174
WS06_stone_12.ply,0.344159813,0.147913659,0.100598469,0.429781901,0.680116155,0.292301614,0.002437541,0.005121059,0.475983652
WS06_stone_120.ply,0.179048462,0.132001734,0.0694207,0.737240255,0.525907487,0.38772017,0.000701681,0.001640738,0.427661752
WS06_stone_121.ply,0.199139728,0.120242632,0.092052123,0.603810364,0.765553126,0.462248912,0.001032482,0.002204196,0.468416457
WS06_stone_122.ply,0.203118416,0.117926099,0.100717956,0.580578076,0.85407689,0.495858318,0.001000354,0.002412493,0.414655516
WS06_stone_123.ply,0.19130245,0.133733588,0.09605717,0.699068871,0.718272589,0.502122008,0.000862759,0.002457485,0.351073992
WS06_stone_124.ply,0.200046574,0.123604034,0.080334787,0.617876287,0.649936612,0.40158042,0.000817942,0.001986403,0.411770235
WS06_stone_125.ply,0.182942658,0.141747358,0.07305532,0.774818511,0.515391052,0.399334528,0.000752428,0.001894444,0.397176062
WS06_stone_126.ply,0.186642161,0.113948446,0.090813218,0.610518251,0.796967589,0.486563259,0.000738505,0.001931378,0.382371997
WS06_stone_127.ply,0.172611251,0.132152126,0.077721494,0.765605515,0.588121407,0.450268993,0.000719932,0.001772901,0.406075733
WS06_stone_128.ply,0.141057446,0.138362906,0.08093058,0.980897565,0.5849153,0.573741993,0.000675562,0.001579532,0.427697529
WS06_stone_129.ply,0.186396844,0.136674736,0.050040203,0.733245977,0.366126212,0.268460572,0.00052536,0.001274811,0.412107876
WS06_stone_13.ply,0.18258028,0.158531532,0.095297871,0.868283979,0.601128805,0.521950511,0.001019057,0.002758371,0.36944154
WS06_stone_130.ply,0.153899212,0.131462746,0.063171654,0.854213248,0.480528939,0.410474186,0.000521422,0.00127809,0.407969614
WS06_stone_131.ply,0.193340816,0.145794964,0.059794769,0.754082694,0.410129182,0.309271319,0.000672001,0.001685502,0.39869459
WS06_stone_132.ply,0.154928703,0.110572101,0.070986058,0.713696679,0.641988873,0.458185327,0.000496757,0.001216047,0.408501103
WS06_stone_133.ply,0.122883022,0.099940166,0.069935068,0.81329515,0.699769383,0.569119045,0.000349127,0.000858869,0.406495913
WS06_stone_134.ply,0.10263284,0.093576609,0.058474729,0.911760886,0.624886176,0.569746773,0.000308735,0.000561593,0.549747956
WS06_stone_135.ply,0.153601913,0.086187191,0.05291029,0.561107535,0.613899689,0.344463741,0.000244492,0.000700454,0.349048203
WS06_stone_136.ply,0.117235344,0.102213275,0.048538556,0.871863993,0.474875266,0.414026646,0.000234926,0.000581638,0.403904604
WS06_stone_137.ply,0.117949687,0.07702686,0.051648562,0.653048447,0.670526648,0.437886386,0.000207814,0.000469242,0.442872402
WS06_stone_138.ply,0.205795287,0.156476277,0.100249391,0.760349176,0.640668302,0.487131615,0.001162293,0.003228239,0.360039196
WS06_stone_139.ply,0.229952732,0.152340988,0.082044484,0.662488271,0.53855817,0.356788471,0.001146868,0.002874119,0.399033017
WS06_stone_14.ply,0.188153629,0.168887177,0.066264877,0.897602545,0.392361804,0.352184954,0.000914409,0.002105681,0.434258187
WS06_stone_140.ply,0.180158806,0.135224571,0.095344219,0.75058541,0.705080581,0.529223197,0.00095386,0.002322766,0.410656952
WS06_stone_141.ply,0.21324518,0.124374022,0.088154011,0.583244238,0.708781537,0.413392747,0.000950608,0.002338035,0.406583986
WS06_stone_142.ply,0.149690704,0.11410202,0.088364105,0.762251876,0.774430681,0.59031124,0.000622464,0.00150926,0.412429952
WS06_stone_15.ply,0.199108381,0.134747124,0.071721363,0.676752645,0.532266375,0.360212677,0.000863021,0.001924233,0.448501583
WS06_stone_16.ply,0.180820735,0.132663717,0.078409443,0.733675356,0.591039089,0.433630814,0.000766193,0.001880913,0.407351462
WS06_stone_17.ply,0.245503063,0.114630966,0.057530136,0.466922753,0.501872557,0.234335716,0.000646243,0.001619028,0.399155275
WS06_stone_18.ply,0.168267407,0.109811248,0.072265329,0.652599633,0.658086765,0.429467181,0.000515906,0.001335294,0.386361644
WS06_stone_19.ply,0.160630765,0.107004365,0.07097778,0.666151124,0.663316676,0.44186915,0.000515816,0.00121998,0.422806969
WS06_stone_2.ply,0.180910873,0.150590153,0.065613098,0.832399678,0.435706432,0.362681894,0.000753607,0.001787524,0.421592577
WS06_stone_20.ply,0.163152335,0.129963192,0.068603596,0.796575739,0.527869431,0.420487983,0.000506068,0.001454657,0.347895289
WS06_stone_21.ply,0.161101665,0.1230196,0.067461529,0.7636147,0.54838033,0.418751281,0.000486239,0.001336997,0.363680105
WS06_stone_22.ply,0.16637722,0.122056332,0.075011902,0.733612038,0.614567887,0.450854401,0.000552779,0.001523296,0.362883168
WS06_stone_23.ply,0.135892182,0.118687797,0.072839815,0.873396806,0.613709387,0.536011819,0.000409421,0.001174815,0.348498036
WS06_stone_24.ply,0.145032066,0.086583878,0.049607385,0.59699817,0.572940203,0.342044253,0.000298516,0.000622942,0.479204385
WS06_stone_25.ply,0.126706934,0.0922435,0.045637169,0.728006723,0.494746719,0.360178938,0.000198941,0.000533402,0.372966871
WS06_stone_26.ply,0.126609917,0.088527603,0.038339739,0.699215397,0.43308231,0.302817819,-0.000163048,0.00042973,-0.379419811
WS06_stone_27.ply,0.256841812,0.120276947,0.085006504,0.468291927,0.706756416,0.330968324,0.001012629,0.002626034,0.385611533
WS06_stone_28.ply,0.186560249,0.143416357,0.086502914,0.768740166,0.603159334,0.463672807,0.001006629,0.002314454,0.434931428
WS06_stone_29.ply,0.187011795,0.165549011,0.072592373,0.885232994,0.438494754,0.388170024,0.000963456,0.002247432,0.428691711
WS06_stone_3.ply,0.18674313,0.13501576,0.081681195,0.723002554,0.604975265,0.437398662,0.000731249,0.00205945,0.355070058
WS06_stone_30.ply,0.205538183,0.168163114,0.067069695,0.818159974,0.398837137,0.326312582,0.000878245,0.002318193,0.378848898
WS06_stone_31.ply,0.169843216,0.140353918,0.084969139,0.826373413,0.605391999,0.500279853,0.000844585,0.002025508,0.416974215
WS06_stone_32.ply,0.193457365,0.117318504,0.086589355,0.606430798,0.738070735,0.447588825,0.000786158,0.001965243,0.400030686
WS06_stone_33.ply,0.171080513,0.126155128,0.061380539,0.737402094,0.486548107,0.358781593,0.000494094,0.001324757,0.372969559
WS06_stone_34.ply,0.178392677,0.125435333,0.082650433,0.703141716,0.658908702,0.463306195,0.000763946,0.001849448,0.413067126
WS06_stone_35.ply,0.179993488,0.110865665,0.090375915,0.615942645,0.815183983,0.502106579,0.000743145,0.00180346,0.412065942
WS06_stone_36.ply,0.165985036,0.151206512,0.060869465,0.910964724,0.402558487,0.366716581,0.000735135,0.001527703,0.481203118
WS06_stone_37.ply,0.182011527,0.094876698,0.086491196,0.521267524,0.911616843,0.475196254,0.000566887,0.001493586,0.379547721
WS06_stone_38.ply,0.140230889,0.09500469,0.056649302,0.677487611,0.596279004,0.403971638,0.000256366,0.000754716,0.339686242
WS06_stone_39.ply,0.111197662,0.083588524,0.067446842,0.751711161,0.806891174,0.606549102,0.000224579,0.000626908,0.358232066
WS06_stone_4.ply,0.168118942,0.104583977,0.095273274,0.622083247,0.910973901,0.566701602,0.000725672,0.001675147,0.43319882
WS06_stone_40.ply,0.11816433,0.068143415,0.050382414,0.576683469,0.739358506,0.426375828,0.000195467,0.000405685,0.481818323
WS06_stone_41.ply,0.135201149,0.097622299,0.021151915,0.72205229,0.216670932,0.156447743,9.27573E-05,0.000279177,0.332253076
WS06_stone_42.ply,0.173223168,0.111675841,0.085792878,0.644693446,0.768231311,0.495273691,0.000707496,0.00165965,0.426292081
WS06_stone_43.ply,0.15872417,0.115493406,0.074746328,0.727635909,0.647191308,0.470919636,0.000585328,0.001370219,0.427177989
WS06_stone_44.ply,0.178545494,0.105405684,0.059977417,0.590357567,0.569015019,0.335922322,0.000480179,0.001128758,0.425404458
WS06_stone_45.ply,0.13192939,0.122063002,0.071024023,0.925214634,0.58186364,0.538348755,0.000475372,0.001143749,0.415626227
WS06_stone_46.ply,0.207100361,0.081427147,0.070440388,0.393177236,0.865072531,0.340126826,0.000413793,0.001187878,0.348346469
WS06_stone_47.ply,0.125487862,0.104040794,0.061956987,0.829090503,0.595506674,0.493728928,0.000349752,0.000808902,0.432379026
WS06_stone_48.ply,0.158333282,0.116645813,0.063292465,0.736710634,0.542603833,0.399742014,0.000390321,0.001168943,0.333909071
WS06_stone_49.ply,0.155077362,0.081583776,0.061783752,0.526084371,0.757304394,0.398406006,0.000276238,0.000781675,0.353392154
WS06_stone_5.ply,0.201082916,0.127694492,0.053278866,0.635034018,0.417236991,0.264959683,0.000718845,0.001368051,0.52545199
WS06_stone_50.ply,0.292702225,0.151663238,0.089011976,0.518148564,0.586905418,0.304104199,0.001939361,0.003951435,0.490799334
WS06_stone_51.ply,0.230733911,0.174148326,0.092953392,0.754758263,0.533759895,0.402859691,0.001446397,0.003735046,0.387250049
WS06_stone_52.ply,0.221500854,0.180235176,0.082685051,0.813699688,0.458762006,0.373294501,0.001389636,0.003300973,0.420977827
WS06_stone_53.ply,0.199861816,0.172553757,0.099972146,0.863365301,0.579368124,0.500206335,0.001371178,0.00344773,0.397704474
WS06_stone_54.ply,0.251511765,0.127387848,0.081281586,0.506488625,0.638063889,0.323172102,0.000964962,0.002604225,0.370537026
WS06_stone_55.ply,0.208386262,0.14070094,0.089368216,0.675192976,0.635164313,0.428858483,0.001196628,0.002620289,0.456678025
WS06_stone_56.ply,0.1895115,0.15603654,0.064843828,0.823361855,0.415568227,0.342163026,0.001011238,0.001917479,0.527378826
WS06_stone_57.ply,0.234040685,0.135798088,0.0767727,0.580232827,0.565344482,0.328031427,0.001001501,0.002440011,0.410449179
WS06_stone_58.ply,0.173305328,0.151364808,0.07875848,0.873399623,0.520322268,0.454449273,0.000840117,0.002066018,0.406635768
WS06_stone_59.ply,0.182701584,0.113012927,0.064110847,0.61856567,0.567287729,0.350904714,0.000626283,0.001323738,0.473117398
WS06_stone_6.ply,0.161143131,0.154440041,0.062899151,0.958402877,0.407272302,0.390330946,0.000596901,0.001565368,0.381316962
WS06_stone_60.ply,0.189061594,0.105369544,0.063779373,0.557329185,0.605292295,0.337347061,0.00051769,0.00127057,0.407446623
WS06_stone_61.ply,0.167516518,0.112370529,0.060138664,0.670802681,0.535181819,0.359001399,0.00050801,0.001132045,0.448753952
WS06_stone_62.ply,0.147885838,0.088716005,0.08415258,0.599895202,0.948561431,0.569037451,0.000435932,0.001104068,0.394841321
WS06_stone_63.ply,0.163259277,0.104485312,0.061157417,0.639996166,0.585320716,0.374603014,0.000364922,0.001043235,0.349798628
WS06_stone_64.ply,0.165551178,0.080119705,0.039459419,0.483957323,0.492505797,0.238351787,0.000211041,0.000523386,0.403222906
WS06_stone_65.ply,0.221040154,0.116076164,0.081811295,0.5251361,0.704807013,0.370119606,0.000872475,0.002099073,0.415647906
WS06_stone_66.ply,0.130732803,0.085497961,0.042698784,0.653990115,0.499412891,0.326611094,0.000168856,0.000477261,0.353801314
WS06_stone_67.ply,0.272310076,0.171681589,0.094191526,0.630463593,0.548640809,0.345898056,0.001473749,0.004403513,0.334675739
WS06_stone_68.ply,0.226388073,0.139171944,0.075807991,0.614749451,0.544707425,0.334858591,0.000936213,0.002388472,0.391971509
WS06_stone_69.ply,0.19715593,0.159322922,0.07563022,0.80810616,0.474697671,0.383606112,0.000895195,0.002375656,0.37682032
WS06_stone_7.ply,0.156430931,0.111175604,0.084033508,0.710700902,0.755862846,0.537192406,0.000586224,0.001461452,0.401124088
WS06_stone_70.ply,0.222684789,0.109549156,0.094340733,0.49194719,0.861172617,0.423651449,0.000825111,0.002301436,0.358520037
WS06_stone_71.ply,0.191508713,0.138605413,0.072806244,0.723755131,0.525277059,0.380171966,0.000728086,0.001932579,0.37674331
WS06_stone_72.ply,0.177284718,0.133292656,0.075108414,0.751856436,0.563485011,0.423659832,0.000702085,0.001774868,0.395570093
WS06_stone_73.ply,0.184787729,0.124894876,0.074795341,0.675882951,0.598866373,0.404763571,0.000699123,0.001726205,0.405006
WS06_stone_74.ply,0.187882156,0.119173994,0.071419144,0.634301822,0.599284636,0.380127336,0.000689487,0.001599122,0.431166025
WS06_stone_75.ply,0.211814938,0.112915802,0.059262314,0.533087058,0.524836319,0.279783449,0.000681141,0.001417392,0.480559168
WS06_stone_76.ply,0.192575807,0.131248725,0.068428462,0.681543167,0.521364775,0.3553326,0.00079571,0.001729552,0.460067271
WS06_stone_77.ply,0.174451466,0.113558578,0.062015877,0.650946543,0.546113535,0.355490718,0.000549609,0.001228563,0.447359164
WS06_stone_78.ply,0.139060745,0.123087664,0.053905945,0.885135941,0.437947583,0.387643146,0.00051096,0.00092269,0.553772186
WS06_stone_79.ply,0.135555745,0.115147083,0.087439081,0.849444511,0.759368614,0.645041501,0.000508227,0.001364823,0.372375592
WS06_stone_8.ply,0.118678417,0.108206844,0.096354399,0.911765145,0.890464918,0.811894875,0.000517211,0.001237366,0.417993431
WS06_stone_80.ply,0.131445154,0.125511569,0.056997647,0.954858853,0.454122654,0.433623037,0.000450537,0.000940341,0.479120978
WS06_stone_81.ply,0.196263681,0.171592738,0.076375255,0.874296952,0.445096078,0.389146144,0.001017017,0.002572122,0.395399941
WS06_stone_82.ply,0.174861145,0.157130413,0.080524826,0.898601076,0.512471294,0.460507256,0.000973829,0.0022125,0.440148555
WS06_stone_83.ply,0.191369667,0.135057755,0.085559235,0.705742747,0.633501089,0.447088799,0.000852214,0.00221136,0.385379969
WS06_stone_84.ply,0.179456239,0.129002997,0.096354236,0.718854905,0.746914706,0.5369233,0.000825776,0.002230638,0.370197152
WS06_stone_85.ply,0.182675336,0.142658678,0.057159412,0.780941104,0.400672519,0.312901639,0.000788994,0.001489587,0.529673152
WS06_stone_86.ply,0.160754681,0.123699608,0.101950531,0.76949304,0.824178288,0.634199456,0.000686405,0.002027316,0.338578309
WS06_stone_87.ply,0.172255407,0.148736685,0.070270318,0.863465989,0.472447789,0.407942597,0.00076393,0.001800375,0.424316994
WS06_stone_88.ply,0.198935165,0.133916292,0.081274185,0.673165511,0.606902893,0.408546096,0.000686108,0.002165198,0.316879818
WS06_stone_89.ply,0.157972479,0.102073168,0.077472072,0.646145254,0.75898567,0.490414989,0.000598619,0.001249218,0.479195322
WS06_stone_9.ply,0.15235658,0.085180679,0.054998698,0.559087627,0.645671051,0.360986696,0.000267417,0.000713764,0.374657743
WS06_stone_90.ply,0.195407124,0.14334631,0.062128601,0.733577707,0.433416118,0.317944402,0.000585093,0.001740277,0.336207006
WS06_stone_91.ply,0.159601329,0.105346885,0.068406765,0.660062702,0.649347776,0.428610248,0.000468638,0.001150157,0.407455182
WS06_stone_92.ply,0.155317459,0.135499926,0.047112846,0.872406273,0.347696474,0.303332585,0.000455268,0.000991514,0.459164431
WS06_stone_93.ply,0.143503988,0.077277387,0.07626914,0.538503412,0.986952883,0.531477495,0.000339117,0.000845795,0.400944614
WS06_stone_94.ply,0.133842621,0.09357769,0.053755836,0.699162117,0.574451415,0.401634667,0.000319425,0.000673275,0.474435427
WS06_stone_95.ply,0.125284438,0.110559559,0.054902115,0.88246841,0.496584062,0.438219748,0.000300637,0.000760471,0.395330317
