Stone ID,Stone length [m],Stone width [m],stone height [m],Elongation [-],Flatness_index [-],Aspect ratio [-],Stone volume [m^3],Bounding box volume [m^3],Shape factor [-]
WS07_stone_0.ply,0.238254166,0.201356564,0.086156235,0.845133444,0.427878949,0.36161481,0.001520243,0.004133263,0.367807108
WS07_stone_1.ply,0.180850253,0.139515524,0.08272914,0.771442237,0.592974439,0.457445527,0.000922429,0.002087373,0.441908824
WS07_stone_10.ply,0.185269677,0.137004137,0.051962772,0.739484947,0.379278852,0.280471002,0.000574513,0.001318956,0.435581734
WS07_stone_100.ply,0.195855918,0.106485805,0.083211514,0.543694601,0.781432919,0.424860859,0.000659803,0.001735449,0.38019169
WS07_stone_101.ply,0.190693455,0.116876087,0.076447945,0.612900361,0.654093977,0.400894434,0.000646667,0.001703834,0.37953623
WS07_stone_102.ply,0.160179551,0.108738858,0.077256765,0.678856053,0.710479825,0.482313529,0.000604612,0.001345638,0.449312171
WS07_stone_103.ply,0.13895806,0.118831854,0.075245829,0.855163451,0.63321262,0.541500289,0.000487961,0.001242508,0.392722368
WS07_stone_104.ply,0.170314693,0.113094139,0.060037041,0.66403043,0.530858992,0.352506525,0.000443212,0.001156409,0.383265786
WS07_stone_105.ply,0.158456459,0.12405056,0.052038345,0.782868434,0.41949303,0.328407852,0.000440296,0.001022898,0.430439667
WS07_stone_106.ply,0.125876808,0.113912878,0.065269775,0.904955247,0.572979776,0.518521055,0.000419606,0.000935903,0.448343941
WS07_stone_107.ply,0.193643761,0.089704895,0.048241386,0.46324702,0.537778751,0.249124404,0.000354513,0.000837991,0.42305045
WS07_stone_108.ply,0.169613743,0.166910133,0.067304535,0.984060198,0.403238159,0.396810623,0.000705123,0.001905408,0.370063997
WS07_stone_109.ply,0.146981372,0.116783313,0.045053376,0.79454499,0.385786071,0.30652439,0.000344268,0.00077334,0.445170774
WS07_stone_11.ply,0.182286091,0.092346163,0.071800308,0.50660016,0.777512633,0.393888025,0.000480815,0.001208645,0.397813196
WS07_stone_110.ply,0.141999416,0.094304904,0.051562109,0.664121773,0.546759574,0.363114938,0.000248515,0.000690481,0.359915721
WS07_stone_111.ply,0.127538357,0.094188499,0.054428978,0.738511157,0.577872864,0.426765558,0.000231683,0.000653836,0.354343442
WS07_stone_112.ply,0.142179748,0.070113713,0.047430386,0.493134319,0.676478017,0.333594526,0.000191201,0.000472822,0.404381915
WS07_stone_113.ply,0.234760485,0.161032524,0.069487327,0.685943903,0.431511135,0.295992432,0.001109267,0.002626904,0.422271589
WS07_stone_114.ply,0.255762079,0.13273024,0.075937036,0.518959811,0.572115559,0.296904982,0.001070569,0.002577862,0.415293389
WS07_stone_115.ply,0.178381815,0.158801022,0.074610672,0.890231,0.469837481,0.418263891,0.000875755,0.002113513,0.414359924
WS07_stone_116.ply,0.17796038,0.155522972,0.085725288,0.873919083,0.551206597,0.481709964,0.000849043,0.002372613,0.357851352
WS07_stone_117.ply,0.204991608,0.124921894,0.067237053,0.609400041,0.538232737,0.327999052,0.000775493,0.001721802,0.450395835
WS07_stone_118.ply,0.194804764,0.148700886,0.055587273,0.763332903,0.373819378,0.285348631,0.00074041,0.001610232,0.459815688
WS07_stone_119.ply,0.155118065,0.153906803,0.078733444,0.992191356,0.511565718,0.507571083,0.000653948,0.001879661,0.34790733
WS07_stone_12.ply,0.170924969,0.111918583,0.054789162,0.654781942,0.489544812,0.320545103,0.000526157,0.001048099,0.502010368
WS07_stone_120.ply,0.189792404,0.108825607,0.074061432,0.573392849,0.680551515,0.390223372,0.000673197,0.001529685,0.440088579
WS07_stone_121.ply,0.188813281,0.113399092,0.060557172,0.600588534,0.534018142,0.320725173,0.000662384,0.001296605,0.510860624
WS07_stone_122.ply,0.186276113,0.103696417,0.069580527,0.556681236,0.671002226,0.373534348,0.000656844,0.001344029,0.488712707
WS07_stone_123.ply,0.143736449,0.106350111,0.077335784,0.739896607,0.727181032,0.538038779,0.000521617,0.001182185,0.4412315
WS07_stone_124.ply,0.231523044,0.16028326,0.031769867,0.692299382,0.198210761,0.137221187,0.000421443,0.001178957,0.357471274
WS07_stone_125.ply,0.158627859,0.111323741,0.058331035,0.701791865,0.523976597,0.367722513,0.0003788,0.00103007,0.367741722
WS07_stone_126.ply,0.129840946,0.11615501,0.057670143,0.894594604,0.496492946,0.44415991,0.000359071,0.000869762,0.412837455
WS07_stone_127.ply,0.129243705,0.11878931,0.058850732,0.919110996,0.495421111,0.455346991,0.000349172,0.000903522,0.386456456
WS07_stone_128.ply,0.118120601,0.112033679,0.048337825,0.948468585,0.431457986,0.409224345,0.000245967,0.000639678,0.384517352
WS07_stone_129.ply,0.116524875,0.091728526,0.061386388,0.787201241,0.669218076,0.5268093,0.000243569,0.000656138,0.371215509
WS07_stone_13.ply,0.170558316,0.104331371,0.076751341,0.611704979,0.735649692,0.450000579,0.000521207,0.001365758,0.381624501
WS07_stone_130.ply,0.16429615,0.131979208,0.080762482,0.803300673,0.611933371,0.491566489,0.000632211,0.001751227,0.361010202
