Stone ID,Stone length [m],Stone width [m],stone height [m],Elongation [-],Flatness_index [-],Aspect ratio [-],Stone volume [m^3],Bounding box volume [m^3],Shape factor [-]
WS03_stone_0.ply,0.284735031,0.21959877,0.088213654,0.771239033,0.401703769,0.309809626,0.002606083,0.005515776,0.472478064
WS03_stone_1.ply,0.157727089,0.090870857,0.076718559,0.576127144,0.844259222,0.486400654,0.000439768,0.001099591,0.399937772
WS03_stone_10.ply,0.144546357,0.131462573,0.076056055,0.909483826,0.5785377,0.526170681,0.000555017,0.00144525,0.384028393
WS03_stone_100.ply,0.20584938,0.158675003,0.096199951,0.770830608,0.60627036,0.46733175,0.001204319,0.003142194,0.383273445
WS03_stone_101.ply,0.223023243,0.114722376,0.096995907,0.514396501,0.84548377,0.434913893,0.001187409,0.002481714,0.478463476
WS03_stone_102.ply,0.184340668,0.125064201,0.080957794,0.678440644,0.647329878,0.439174899,0.001125981,0.001866435,0.603279203
WS03_stone_103.ply,0.199094416,0.181736082,0.076709142,0.912813556,0.422090875,0.385290273,0.001043175,0.002775539,0.37584594
WS03_stone_104.ply,0.234826856,0.116188544,0.091760606,0.494783885,0.789756051,0.390758567,0.00098032,0.002503614,0.391562064
WS03_stone_105.ply,0.126388197,0.126042757,0.086184235,0.997266834,0.683769831,0.681900974,0.000553108,0.001372942,0.402863015
WS03_stone_106.ply,0.199703186,0.156488269,0.066022661,0.783604272,0.421901661,0.330603944,0.000885186,0.002063288,0.429017252
WS03_stone_107.ply,0.16798878,0.151018383,0.059001308,0.898978983,0.390689578,0.35122172,0.000694813,0.001496827,0.464190611
WS03_stone_108.ply,0.205134658,0.086842468,0.077949499,0.423343712,0.897596547,0.379991854,0.000661031,0.001388624,0.476032968
WS03_stone_109.ply,0.189457061,0.129240801,0.078473596,0.68216408,0.607189026,0.414202543,0.000655424,0.001921472,0.341105021
WS03_stone_11.ply,0.140703335,0.126512489,0.075910892,0.899143503,0.600026866,0.539510258,0.000464786,0.001351269,0.343962895
WS03_stone_110.ply,0.175231608,0.104081129,0.060131233,0.59396321,0.577734251,0.34315289,0.00048226,0.001096692,0.439741057
WS03_stone_111.ply,0.16330904,0.072407939,0.071408081,0.443379861,0.986191316,0.437257368,0.000399472,0.000844391,0.473088152
WS03_stone_112.ply,0.173975181,0.117262822,0.045108782,0.674020408,0.384681016,0.259282855,0.00034461,0.000920256,0.374471995
WS03_stone_113.ply,0.163135426,0.098669317,0.040699249,0.604830718,0.412481307,0.249481365,0.000280537,0.000655114,0.428225797
WS03_stone_114.ply,0.187579523,0.184235034,0.093812624,0.982170287,0.509200784,0.50012188,0.001615232,0.003242044,0.498214042
WS03_stone_115.ply,0.228755176,0.126249104,0.073136504,0.551896165,0.579303151,0.319715187,0.001096852,0.002112192,0.519295775
WS03_stone_116.ply,0.157072525,0.104379578,0.089597473,0.664531099,0.858381258,0.57042104,0.000510519,0.001468965,0.347536606
WS03_stone_117.ply,0.216870232,0.130519242,0.081458442,0.601831063,0.624110597,0.375609144,0.000959267,0.002305741,0.416034155
WS03_stone_118.ply,0.191293023,0.131656304,0.071712962,0.688244152,0.54469828,0.374885406,0.000787202,0.001806086,0.43586098
WS03_stone_119.ply,0.187296658,0.138291192,0.062014715,0.73835376,0.448435759,0.331104229,0.000778779,0.001606273,0.484836022
WS03_stone_12.ply,0.164795494,0.08994545,0.062983809,0.54580042,0.700244522,0.382193754,0.000356201,0.000933584,0.381541705
WS03_stone_120.ply,0.173079147,0.139791985,0.081529598,0.807676642,0.583220837,0.471053847,0.000742474,0.001972615,0.376390552
WS03_stone_121.ply,0.194999062,0.125824718,0.065431894,0.645258068,0.520024161,0.335549785,0.000722642,0.001605417,0.45012718
WS03_stone_122.ply,0.171023916,0.124364333,0.069577655,0.727175099,0.559466319,0.406829975,0.000715795,0.001479866,0.483688731
WS03_stone_123.ply,0.159180346,0.130790406,0.072418839,0.821649216,0.553701464,0.454948374,0.000635544,0.001507707,0.421530165
WS03_stone_124.ply,0.149021193,0.119844154,0.056061011,0.804208799,0.467782611,0.376194892,0.000463516,0.001001211,0.462954813
WS03_stone_125.ply,0.165140209,0.109926033,0.066294765,0.665652742,0.603085217,0.401445328,0.000443813,0.001203463,0.368780223
WS03_stone_126.ply,0.159268332,0.106919866,0.05235269,0.671319057,0.489644179,0.328707469,0.000441541,0.000891511,0.495272927
WS03_stone_127.ply,0.203431854,0.090657787,0.062738342,0.445642044,0.692034784,0.308399796,0.000481533,0.001157063,0.416167931
WS03_stone_13.ply,0.12041069,0.09390131,0.076784897,0.77984197,0.817719123,0.637691692,0.000353668,0.000868185,0.407364646
WS03_stone_14.ply,0.139203625,0.097928467,0.049630127,0.703490782,0.506799796,0.356528984,0.000267222,0.000676558,0.394973483
WS03_stone_15.ply,0.144676824,0.100137772,0.039591544,0.692147985,0.395370733,0.273655056,0.000266704,0.000573587,0.464976027
WS03_stone_16.ply,0.345856667,0.195643234,0.081537428,0.56567721,0.416765896,0.23575497,0.002369659,0.005517191,0.429504561
WS03_stone_17.ply,0.226594598,0.191027996,0.093141938,0.843038615,0.487582658,0.411051009,0.001560052,0.004031734,0.386943314
WS03_stone_18.ply,0.200249,0.153047408,0.092256203,0.764285504,0.602794941,0.460707435,0.001243649,0.00282743,0.439851322
WS03_stone_19.ply,0.181002178,0.175509949,0.08316144,0.969656556,0.473827498,0.45944994,0.001024511,0.002641846,0.387801119
WS03_stone_2.ply,0.185620041,0.090133963,0.052727432,0.485583142,0.584989617,0.284061096,0.000380086,0.000882165,0.430855972
WS03_stone_20.ply,0.220922277,0.123421524,0.098284431,0.558664913,0.796331367,0.444882393,0.001024284,0.002679879,0.382212855
WS03_stone_21.ply,0.184157144,0.164664554,0.084254844,0.894152409,0.511675658,0.457516023,0.000922821,0.002554957,0.361188476
